name, url
Electronica, https://i.ibb.co/tC74ppK/Electronica.jpg
Jazz, https://i.ibb.co/w6sVS4c/Jazz.jpg
Portuguesa, https://i.ibb.co/J5f2JB4/Portuguesa.jpg
Rock, https://i.ibb.co/jHrh1FT/Rock.jpg
Soul, https://i.ibb.co/688CLX8/CIRCA-1968-Soul-singer-Aretha-Franklin-performs-onstage-in-circa-1968-Photo-by-Michael-Ochs-Archives.jpg
Reggae, https://i.ibb.co/G5yqCPb/reggae.jpg
Folk, https://routenote.com/blog/wp-content/uploads/2021/01/zekeriya-sen-4wlRmtvcic0-unsplash-1280x960.jpg
Classical, https://www.studyfinds.org/wp-content/uploads/2020/05/AdobeStock_339859118-scaled.jpeg
Progressive Rock, https://i.pinimg.com/originals/91/fa/d2/91fad2672c93e7e574bcadd1c6047f7c.jpg
